Date;EVOO_ES;REFINED;LAMPANTE_B1;VOO_ES;Cbot
07.01.2002;1,961;2,010;1,859;1,913;436,45
14.01.2002;1,967;1,940;1,82;1,91;448,15
21.01.2002;1,973;1,995;1,873;1,922;435,125
28.01.2002;1,99;2,010;1,863;1,937;428,85
04.02.2002;1,99;1,965;1,85;1,9;431
11.02.2002;2,03;1,950;1,81;1,92;436,05
18.02.2002;2,01;1,955;1,84;1,9;442,125
25.02.2002;1,959;1,965;1,839;1,918;439,7
04.03.2002;1,973;1,950;1,842;1,913;449,85
11.03.2002;1,988;1,950;1,821;1,882;460,1
18.03.2002;1,986;1,930;1,799;1,882;461,25
25.03.2002;1,954;;1,789;1,89;469,8125
01.04.2002;2,055;1,950;1,797;1,851;467,05
08.04.2002;1,939;1,915;1,776;1,825;459,75
15.04.2002;1,914;1,905;1,769;1,826;467,05
22.04.2002;1,931;1,875;1,746;1,823;473,1
29.04.2002;1,923;1,880;1,737;1,784;460,5
06.05.2002;1,849;1,830;1,696;1,772;466,05
13.05.2002;1,887;1,800;1,685;1,737;481,25
20.05.2002;1,819;1,785;1,69;1,737;491,45
27.05.2002;1,777;1,830;1,725;1,765;500,875
03.06.2002;1,847;1,830;1,732;1,772;509,95
10.06.2002;1,859;1,815;1,714;1,763;498,5
17.06.2002;1,818;1,830;1,739;1,773;493,15
24.06.2002;1,851;1,860;1,754;1,788;516,2
01.07.2002;1,826;1,875;1,777;1,799;555
08.07.2002;1,903;1,905;1,786;1,798;580
15.07.2002;1,874;1,920;1,794;1,818;575,15
29.07.2002;1,868;;1,815;1,838;555,3
05.08.2002;1,89;;1,833;1,849;561,95
12.08.2002;1,905;;1,858;1,872;592,25
19.08.2002;1,898;;1,851;1,892;555
26.08.2002;1,945;1,950;1,859;1,877;558,05
02.09.2002;1,899;1,920;1,859;1,876;563,375
09.09.2002;1,895;1,940;1,852;1,857;577,5
16.09.2002;1,928;1,915;1,831;1,861;569,2
23.09.2002;1,868;1,915;1,827;1,886;559,9
30.09.2002;1,8;1,800;1,8;1,835;540,55
07.10.2002;1,868;1,915;1,809;1,846;530,35
14.10.2002;1,917;1,915;1,798;1,836;544,8
21.10.2002;1,915;1,900;1,797;1,822;553,3
28.10.2002;1,864;1,875;1,769;1,816;558,65
04.11.2002;1,856;1,870;1,791;1,823;574,25
11.11.2002;1,925;1,885;1,794;1,836;568,7
18.11.2002;1,913;1,915;1,808;1,854;571,45
25.11.2002;1,964;1,950;1,845;1,871;575,3125
02.12.2002;1,92;1,920;1,82;1,872;566,9
09.12.2002;2,019;1,920;1,803;1,902;568,4
16.12.2002;2,07;1,920;1,779;1,885;562,7
23.12.2002;1,966;;1,791;1,895;569,4166667
30.12.2002;1,942;1,923;1,794;1,902;575,5
06.01.2003;2,003;1,923;1,807;1,912;581,6
13.01.2003;2,047;1,938;1,813;1,956;554
20.01.2003;2,021;1,923;1,832;1,92;561,625
