DATE;SUNFLOWER_OIL;EXIS_INIC;CRUDE_PALM_OIL;COCONUT_OIL;DEXUSEU;PSOYBUSDM;SUNFLOWER, OIL TYPE - ACRES HARVESTED;INNER_CONS;IMPORTS;EXPORTS;PRODUCTION
01/01/2002;567,4347826;471,5;373,8;362;0,8832;;1653414;95,8;0,8;58,7;535,4
01/02/2002;563,05;853,2;352,98;376;0,8707;160,1955661;1653414;62,2;0,8;57,4;294,9
01/03/2002;546,5238095;1029,3;359;366;0,8766;168,6933954;1653414;35,4;1,3;69,1;66,6
01/04/2002;545,6818182;992,7;360,07;411;0,886;171,3575797;1653414;61,1;0,4;47,3;26,5
01/05/2002;525;911,2;384,91;420;0,917;176,6400142;1653414;60,8;0,3;46,4;8,5
01/06/2002;556,85;812,8;426,13;446;0,9561;185,3675145;1653414;41,3;0,3;51;
01/07/2002;596,2173913;720,8;422,22;445;0,9935;209,0925353;1653414;49,4;0,3;66,5;
01/08/2002;639,7727273;605,2;446,09;443;0,9781;208,2197853;1653414;41;0,2;40,5;
01/09/2002;631,6190476;523,9;424,76;410;0,9806;208,2197853;1653414;44,1;0,6;50,2;
01/10/2002;635,4347826;430,2;427,24;434;0,9812;200,0894297;1653414;57,8;0,7;48,7;
01/11/2002;732,3809524;324,4;465,02;457;1,0013;210,2179235;1653414;41,3;1,5;47,2;54,7
01/12/2002;729,9545455;292,1;488,52;482;1,0194;208,2427524;1653414;46,3;3,5;44,4;281,5
01/01/2003;659,3913043;486,4;486,11;494;1,0622;208,6772837;1874000;69,5;1,3;38,8;324
01/02/2003;640,6;703,4;476,95;477;1,0785;209,6335436;1874000;39,8;3,7;44;144,3
01/03/2003;647;767,6;453,55;441;1,0797;210,2346207;1874000;47,8;6;50;48,3
01/04/2003;667,6363636;724,1;443,02;421;1,0862;221,7192496;1874000;70,2;6,6;41,8;5
01/05/2003;678,2727273;623,7;453,82;440;1,1556;232,4222939;1874000;59,8;3,6;50,6;3,3
01/06/2003;634,047619;520,2;466,21;459;1,1674;229,7975695;1874000;50,9;5,2;56,6;
01/07/2003;577,5217391;417,9;457,72;439;1,1365;214,0463044;1874000;46,8;3,3;51,5;
01/08/2003;552,2380952;322,9;439,36;421;1,1155;208,2347263;1874000;55;0,5;29,8;
01/09/2003;617,5;238,6;440,91;431;1,1267;231,7099727;1874000;25,8;1,6;46,1;
01/10/2003;705,2173913;168,3;515,07;487;1,1714;269,0050928;1874000;38,1;2,3;36,8;
01/11/2003;708,8;95,7;548;515;1,171;279,7332646;1874000;26;1,9;31,7;89,2
01/12/2003;711,7391304;129,1;539,72;583;1,2298;283,2000468;1874000;65,3;2;51,4;429,8
